//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-24-2024
//--  Time: 18:27
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 100(C), 	Resistance 1: 187 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 0(C), 	Resistance 3: 5896 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
525	66.20	662 	2.563
526	66.03	660 	2.568
527	65.85	659 	2.573
528	65.68	657 	2.578
529	65.50	655 	2.583
530	65.33	653 	2.588
531	65.15	652 	2.593
532	64.98	650 	2.598
533	64.80	648 	2.603
534	64.63	646 	2.607
535	64.46	645 	2.612
536	64.28	643 	2.617
537	64.11	641 	2.622
538	63.93	639 	2.627
539	63.76	638 	2.632
540	63.59	636 	2.637
541	63.41	634 	2.642
542	63.24	632 	2.646
543	63.06	631 	2.651
544	62.89	629 	2.656
545	62.72	627 	2.661
546	62.54	625 	2.666
547	62.37	624 	2.671
548	62.20	622 	2.676
549	62.02	620 	2.681
550	61.85	619 	2.686
551	61.68	617 	2.690
552	61.50	615 	2.695
553	61.33	613 	2.700
554	61.16	612 	2.705
555	60.98	610 	2.710
556	60.81	608 	2.715
557	60.64	606 	2.720
558	60.47	605 	2.725
559	60.29	603 	2.729
560	60.12	601 	2.734
561	59.95	599 	2.739
562	59.77	598 	2.744
563	59.60	596 	2.749
564	59.43	594 	2.754
565	59.26	593 	2.759
566	59.08	591 	2.764
567	58.91	589 	2.769
568	58.74	587 	2.773
569	58.56	586 	2.778
570	58.39	584 	2.783
571	58.22	582 	2.788
572	58.05	580 	2.793
573	57.87	579 	2.798
574	57.70	577 	2.803
575	57.53	575 	2.808
576	57.36	574 	2.813
577	57.18	572 	2.817
578	57.01	570 	2.822
579	56.84	568 	2.827
580	56.67	567 	2.832
581	56.49	565 	2.837
582	56.32	563 	2.842
583	56.15	561 	2.847
584	55.98	560 	2.852
585	55.80	558 	2.856
586	55.63	556 	2.861
587	55.46	555 	2.866
588	55.29	553 	2.871
589	55.11	551 	2.876
590	54.94	549 	2.881
591	54.77	548 	2.886
592	54.60	546 	2.891
593	54.42	544 	2.896
594	54.25	542 	2.900
595	54.08	541 	2.905
596	53.90	539 	2.910
597	53.73	537 	2.915
598	53.56	536 	2.920
599	53.39	534 	2.925
600	53.21	532 	2.930
601	53.04	530 	2.935
602	52.87	529 	2.939
603	52.70	527 	2.944
604	52.52	525 	2.949
605	52.35	523 	2.954
606	52.18	522 	2.959
607	52.00	520 	2.964
608	51.83	518 	2.969
609	51.66	517 	2.974
610	51.48	515 	2.979
611	51.31	513 	2.983
612	51.14	511 	2.988
613	50.97	510 	2.993
614	50.79	508 	2.998
615	50.62	506 	3.003
616	50.45	504 	3.008
617	50.27	503 	3.013
618	50.10	501 	3.018
619	49.93	499 	3.022
620	49.75	498 	3.027
621	49.58	496 	3.032
622	49.40	494 	3.037
623	49.23	492 	3.042
624	49.06	491 	3.047
625	48.88	489 	3.052
626	48.71	487 	3.057
627	48.54	485 	3.062
628	48.36	484 	3.066
629	48.19	482 	3.071
630	48.01	480 	3.076
631	47.84	478 	3.081
632	47.67	477 	3.086
633	47.49	475 	3.091
634	47.32	473 	3.096
635	47.14	471 	3.101
636	46.97	470 	3.105
637	46.79	468 	3.110
638	46.62	466 	3.115
639	46.44	464 	3.120
640	46.27	463 	3.125
641	46.09	461 	3.130
642	45.92	459 	3.135
643	45.74	457 	3.140
644	45.57	456 	3.145
645	45.39	454 	3.149
646	45.22	452 	3.154
647	45.04	450 	3.159
648	44.87	449 	3.164
649	44.69	447 	3.169
650	44.52	445 	3.174
651	44.34	443 	3.179
652	44.16	442 	3.184
653	43.99	440 	3.188
654	43.81	438 	3.193
655	43.63	436 	3.198
656	43.46	435 	3.203
657	43.28	433 	3.208
658	43.11	431 	3.213
659	42.93	429 	3.218
660	42.75	428 	3.223
661	42.57	426 	3.228
662	42.40	424 	3.232
663	42.22	422 	3.237
664	42.04	420 	3.242
665	41.87	419 	3.247
666	41.69	417 	3.252
667	41.51	415 	3.257
668	41.33	413 	3.262
669	41.15	412 	3.267
670	40.98	410 	3.271
671	40.80	408 	3.276
672	40.62	406 	3.281
673	40.44	404 	3.286
674	40.26	403 	3.291
675	40.08	401 	3.296
676	39.91	399 	3.301
677	39.73	397 	3.306
678	39.55	395 	3.311
679	39.37	394 	3.315
680	39.19	392 	3.320
681	39.01	390 	3.325
682	38.83	388 	3.330
683	38.65	386 	3.335
684	38.47	385 	3.340
685	38.29	383 	3.345
686	38.11	381 	3.350
687	37.93	379 	3.354
688	37.75	377 	3.359
689	37.57	376 	3.364
690	37.38	374 	3.369
691	37.20	372 	3.374
692	37.02	370 	3.379
693	36.84	368 	3.384
694	36.66	367 	3.389
695	36.48	365 	3.394
696	36.29	363 	3.398
697	36.11	361 	3.403
698	35.93	359 	3.408
699	35.75	357 	3.413
700	35.56	356 	3.418
701	35.38	354 	3.423
702	35.20	352 	3.428
703	35.01	350 	3.433
704	34.83	348 	3.438
705	34.64	346 	3.442
706	34.46	345 	3.447
707	34.28	343 	3.452
708	34.09	341 	3.457
709	33.91	339 	3.462
710	33.72	337 	3.467
711	33.54	335 	3.472
712	33.35	334 	3.477
713	33.17	332 	3.481
714	32.98	330 	3.486
715	32.79	328 	3.491
716	32.61	326 	3.496
717	32.42	324 	3.501
718	32.23	322 	3.506
719	32.05	320 	3.511
720	31.86	319 	3.516
721	31.67	317 	3.521
722	31.48	315 	3.525
723	31.30	313 	3.530
724	31.11	311 	3.535
725	30.92	309 	3.540
726	30.73	307 	3.545
727	30.54	305 	3.550
728	30.35	304 	3.555
729	30.16	302 	3.560
730	29.97	300 	3.564
731	29.78	298 	3.569
732	29.59	296 	3.574
733	29.40	294 	3.579
734	29.21	292 	3.584
735	29.02	290 	3.589
736	28.83	288 	3.594
737	28.64	286 	3.599
738	28.44	284 	3.604
739	28.25	283 	3.608
740	28.06	281 	3.613
741	27.87	279 	3.618
742	27.67	277 	3.623
743	27.48	275 	3.628
744	27.28	273 	3.633
745	27.09	271 	3.638
746	26.90	269 	3.643
747	26.70	267 	3.647
748	26.51	265 	3.652
749	26.31	263 	3.657
750	26.12	261 	3.662
751	25.92	259 	3.667
752	25.72	257 	3.672
753	25.53	255 	3.677
754	25.33	253 	3.682
755	25.13	251 	3.687
756	24.93	249 	3.691
757	24.74	247 	3.696
758	24.54	245 	3.701
759	24.34	243 	3.706
760	24.14	241 	3.711
761	23.94	239 	3.716
762	23.74	237 	3.721
763	23.54	235 	3.726
764	23.34	233 	3.730
765	23.14	231 	3.735
766	22.94	229 	3.740
767	22.73	227 	3.745
768	22.53	225 	3.750
769	22.33	223 	3.755
770	22.13	221 	3.760
771	21.92	219 	3.765
772	21.72	217 	3.770
773	21.51	215 	3.774
774	21.31	213 	3.779
775	21.11	211 	3.784
776	20.90	209 	3.789
777	20.69	207 	3.794
778	20.49	205 	3.799
779	20.28	203 	3.804
780	20.07	201 	3.809
781	19.87	199 	3.813
782	19.66	197 	3.818
783	19.45	194 	3.823
784	19.24	192 	3.828
785	19.03	190 	3.833
786	18.82	188 	3.838
787	18.61	186 	3.843
788	18.40	184 	3.848
